meal_id,meal_name,tagline,prep_time,meal_type,tags/0,tags/1,tags/2,ingredients/serving_size,ingredients/list/0/item,ingredients/list/0/quantity,ingredients/list/1/item,ingredients/list/1/quantity,ingredients/list/2/item,ingredients/list/2/quantity,ingredients/list/3/item,ingredients/list/3/quantity,ingredients/list/4/item,ingredients/list/4/quantity,ingredients/list/5/item,ingredients/list/5/quantity,ingredients/list/6/item,ingredients/list/6/quantity,ingredients/list/7/item,ingredients/list/7/quantity,method/0,method/1,method/2,method/3,nutrition/serving_unit,nutrition/summary,nutrition/details/Calories,nutrition/details/Protein,nutrition/details/Carbs,nutrition/details/Fiber,nutrition/details/Fat,nutrition/details/Saturated_Fat,nutrition/details/Sugars,nutrition/details/Sodium,why_this_meal,method/4,ingredients/list/8/item,ingredients/list/8/quantity,ingredients/list/9/item,ingredients/list/9/quantity,ingredients/list/10/item,ingredients/list/10/quantity,ingredients/list/11/item,ingredients/list/11/quantity,ingredients/list/12/item,ingredients/list/12/quantity,ingredients/list/13/item,ingredients/list/13/quantity,ingredients/list/14/item,ingredients/list/14/quantity,method/5
LD-0010,Black Bean & Sweet Potato Chili,One-Pot Recovery Chili,40 minutes,Lunch/Dinner,Recovery,Energy,Better Performance,1 serving (Recipe makes 4 servings),Black beans,"2 cans (15 oz each), drained and rinsed (or ~3 cups cooked) - for 4 servings",Sweet potatoes,"2 medium, peeled and diced - for 4 servings",Olive oil,1 tablespoon - for 4 servings,Yellow onion,"1, diced - for 4 servings",Green bell pepper,"1, diced - for 4 servings",Garlic,"4 cloves, minced - for 4 servings",Chili powder,1 tablespoon - for 4 servings,Ground cumin,2 teaspoons - for 4 servings,"step 1: In a large pot, heat olive oil over medium heat. Add diced onion, bell pepper, and sweet potatoes. Sauté for ~5–7 minutes until onions are translucent and veggies start to soften. Add minced garlic and cook 1 minute more.","step 2: Stir in chili powder, cumin, and smoked paprika. Cook spices with the veggies for 30 seconds to bloom their flavor.","step 3: Add the drained black beans, diced tomatoes (with juice), and tomato sauce. Pour in water or broth as needed to achieve a chili-like thickness (start with ~1 cup). Stir everything and bring to a simmer.","step 4: Cover and let the chili simmer for about 20–25 minutes, stirring occasionally, until sweet potatoes are tender and flavors have melded. Add a bit more liquid if it becomes too thick.",per 1 serving,"Loaded with fiber and plant protein, plus complex carbs from sweet potatoes, this chili is very filling and nutrient-rich.",380 kcal,18 g,65 g,16 g,6 g,1 g,12 g,500 mg,"This vegetarian chili is loaded with two key recovery nutrients: protein (from black beans) and complex carbs (from sweet potatoes and beans). Black beans offer ~15 g protein and 15 g fiber per cup, supporting muscle repair and digestive health. Sweet potatoes provide carb fuel along with potassium and vitamin A, aiding in electrolyte balance and immune function. The mix of spices (chili powder, cumin) not only adds flavor but also contains antioxidants. Overall, this chili is a one-pot nutritional powerhouse that supports both gut health and athletic recovery.","step 5: Taste and season with salt and pepper as needed. Serve hot, with a dollop of Greek yogurt or fresh cilantro on top if desired.",Smoked paprika,"1 teaspoon (optional, for depth) - for 4 servings",Diced tomatoes,1 can (14 oz) - for 4 servings,Tomato sauce or crushed tomatoes,1 can (15 oz) - for 4 servings,Water or broth,1 cup (as needed for desired consistency) - for 4 servings,Salt and pepper,to taste - for 4 servings,Greek yogurt or cilantro,for topping (optional) - for 4 servings,,,
LD-0011,Tofu Buddha Bowl with Kimchi,Probiotic Protein Bowl,20 minutes,Lunch/Dinner,Recovery,Energy,Better Performance,1 serving (Recipe makes 2 servings),Brown rice or quinoa,1 cup cooked (about 1/2 cup dry) - for 2 servings,Extra-firm tofu,"8 oz, drained and cubed - for 2 servings",Broccoli or kale,2 cups (lightly steamed or raw as base) - for 2 servings,Carrot,"1, shredded or thinly sliced - for 2 servings",Kimchi,1/2 cup (Korean fermented veggies) - for 2 servings,Sesame oil (for flavor),1 teaspoon - for 2 servings,Soy sauce (for ginger-soy dressing),2 tablespoons - for 2 servings,Rice vinegar (for ginger-soy dressing),1 tablespoon - for 2 servings,"step 1: Prepare the dressing: In a small bowl, whisk together soy sauce, rice vinegar, grated ginger, honey, sesame oil, and minced garlic. Set aside.","step 2: If using raw kale or spinach as a base, place 1 cup of greens in each bowl. (If using broccoli, you can lightly steam it first.)","step 3: In a skillet over medium-high heat, add a tiny drizzle of oil (or use a non-stick pan). Pat tofu cubes dry and add them to the pan. Sear until golden on most sides, about 2–3 minutes per side. (Optionally, you can toss tofu in a bit of the dressing while cooking for flavor.)","step 4: Assemble bowls: Divide the cooked brown rice or quinoa into two bowls. Arrange the tofu cubes, broccoli/kale, shredded carrot, and kimchi on top of the grains in sections (for a Buddha bowl presentation).",per 1 serving,"Packed with plant protein from tofu and whole grains, plus the benefits of fermented kimchi for gut health. Contains a good balance of carbs and healthy fats.",500 kcal,22 g,50 g,8 g,20 g,3 g,6 g,600 mg,"This bowl combines plant-based protein with probiotic power. Tofu provides ~10 g complete protein per 3 oz and is easy to digest when cooked. Quinoa or brown rice offer complex carbs for steady energy and additional protein and fiber. Kimchi (fermented cabbage) delivers probiotics and vitamins that enhance gut health and immunity. The array of veggies (carrot, greens, etc.) contributes fiber, antioxidants, and phytonutrients. Overall, this meal supports muscle recovery (with plant protein and amino acids), gut health (with fiber and probiotics), and reduces inflammation (ginger and garlic in the dressing).","step 5: Drizzle the ginger-soy dressing over each bowl. If meal-prepping, keep the dressing separate until serving and reheat the tofu/veg before adding kimchi (to keep its probiotics alive). Serve room temperature or warm.",Fresh ginger (for ginger-soy dressing),"1 teaspoon, grated - for 2 servings",Honey (for ginger-soy dressing),1 teaspoon - for 2 servings,Sesame oil (for ginger-soy dressing),1 teaspoon - for 2 servings,Garlic (for ginger-soy dressing),"1 clove, minced - for 2 servings",,,,,,,
LD-0012,High-Protein Chickpea Pasta Primavera,Fiber-Rich Pasta Upgrade,30 minutes,Lunch/Dinner,Recovery,Energy,Better Performance,1 serving (Recipe makes 4 servings),Chickpea or lentil pasta,8 oz (such as rotini or penne made from legumes) - for 4 servings,Olive oil,2 tablespoons - for 4 servings,Garlic,"3 cloves, minced - for 4 servings",Mixed vegetables,"4 cups chopped (e.g., zucchini, bell peppers, cherry tomatoes, broccoli, carrots) - for 4 servings",Italian seasoning,1 teaspoon (a mix of dried herbs) - for 4 servings,Cherry tomatoes,"1 cup, halved (if not using in mixed veg above) - for 4 servings",Baby spinach,2 cups - for 4 servings,Parmesan cheese,"1/4 cup grated (optional, for topping) - for 4 servings","step 1: Bring a large pot of salted water to a boil. Cook the chickpea pasta according to package instructions until al dente. Reserve 1/2 cup of the pasta cooking water, then drain pasta.","step 2: Meanwhile, in a large skillet, heat olive oil over medium heat. Add minced garlic and sauté for 30 seconds until fragrant. Add the mixed chopped vegetables (except spinach) and Italian seasoning. Sauté 5–7 minutes until veggies are crisp-tender.",step 3: Add the cherry tomatoes (if using) and cook 2 minutes until they start to soften. Toss in the baby spinach and cook just until wilted. Season the vegetables with a pinch of salt and pepper.,step 4: Add the drained pasta to the skillet with veggies. Pour in a splash of the reserved pasta water to help create a light sauce that coats the pasta (the starch in the water helps). Toss everything together over low heat for a minute.,per 1 serving,Using chickpea-based pasta significantly increases the protein and fiber content compared to regular pasta. The assortment of vegetables adds volume and nutrients for relatively few calories.,400 kcal,20 g,55 g,10 g,10 g,2.5 g,8 g,400 mg,"This pasta dish is comfort food with a performance twist. Legume-based pasta (from chickpeas or lentils) can deliver twice the protein and three times the fiber of regular wheat pasta, turning a normally carb-heavy dish into a balanced, high-protein meal. The fiber and protein keep blood sugar steady and aid satiety. The rainbow of vegetables provides antioxidants (like vitamin C, beta-carotene) that support immune function and recovery, as well as nitrates (in carrots, spinach) that improve blood flow. Overall, you get the satisfaction of pasta with far more protein for muscle repair and fiber for gut health, making it an ideal better-for-you dinner.",step 5: Serve the pasta primavera in bowls. Sprinkle with grated Parmesan cheese if desired.,Salt and pepper,to taste - for 4 servings,,,,,,,,,,,,,
LD-0013,Shrimp & Avocado Quinoa Salad,Light Zesty Protein Salad,25 minutes,Lunch/Dinner,Recovery,Energy,Better Performance,1 serving (Recipe makes 2 servings),Quinoa,1/2 cup dry - for 2 servings,Water or broth,1 cup (for quinoa) - for 2 servings,Shrimp,"8 oz, peeled and deveined (around 16 medium shrimp) - for 2 servings",Olive oil,2 tablespoons (divided) - for 2 servings,Garlic,"2 cloves, minced - for 2 servings",Cumin,1/2 teaspoon (for shrimp seasoning) - for 2 servings,Lime,"1 (half for juice, half for wedges) - for 2 servings",Avocado,"1 medium, diced - for 2 servings","step 1: Cook the quinoa: In a small pot, combine quinoa with 1 cup water or broth. Bring to a boil, then cover and reduce heat to low. Simmer ~15 minutes until quinoa is fluffy and liquid is absorbed. Set aside to cool.","step 2: In a bowl, toss the shrimp with 1 tablespoon olive oil, minced garlic, cumin, a squeeze of lime juice, and a pinch of salt and pepper. Let marinate for 5–10 minutes.",step 3: Heat a skillet over medium-high heat. Add the marinated shrimp (discard excess marinade) and cook ~2 minutes per side until pink and cooked through. Remove and set aside.,"step 4: In a large bowl, combine the cooled quinoa, diced avocado, cherry tomatoes, cucumber, and chopped cilantro. Add the cooked shrimp.",per 1 serving,"A refreshing salad high in lean protein, with healthy fats from avocado and complex carbs from quinoa. Rich in potassium and vitamin C.",450 kcal,25 g,40 g,8 g,22 g,4 g,6 g,450 mg,"This salad is a light yet protein-rich meal ideal for warmer days or post-workout lunch. Shrimp provides lean protein and key minerals like zinc and iodine, while quinoa adds additional protein and fiber. The combination of quinoa and shrimp ensures all essential amino acids for muscle recovery. Avocado contributes monounsaturated fats which help in reducing inflammation and improving heart health. The mix of raw veggies (tomato, cucumber) hydrates and offers vitamins (vitamin C, K) and antioxidants. Plus, the citrusy dressing with lime not only adds flavor but also vitamin C, enhancing iron absorption from the quinoa. It’s a nutrient-dense meal that supports recovery, hydrates, and fuels without heaviness.","step 5: Drizzle with remaining 1 tablespoon olive oil and the juice of half a lime. Toss gently to combine. Add salt and pepper to taste. Serve room temperature or chilled, with extra lime wedges on the side.",Cherry tomatoes,"1 cup, halved - for 2 servings",Cucumber,"1 cup, diced - for 2 servings",Fresh cilantro,"1/4 cup, chopped (or parsley if preferred) - for 2 servings",Salt and pepper,to taste - for 2 servings,,,,,,,
LD-0014,Edamame Quinoa Rainbow Salad with Ginger Dressing,Colorful Bowl for Energy,20 minutes,Lunch/Dinner,Recovery,Energy,Better Performance,1 serving (Recipe makes 2-3 servings),Quinoa,1/2 cup dry - for 2-3 servings,Water or broth,1 cup (for quinoa) - for 2-3 servings,Edamame,"1 cup (shelled, cooked and cooled) - for 2-3 servings",Red bell pepper,"1, diced - for 2-3 servings",Purple cabbage,"1 cup, shredded - for 2-3 servings",Carrot,"1, grated or julienned - for 2-3 servings",Green onion,"2, thinly sliced - for 2-3 servings",Fresh cilantro,"1/4 cup, chopped (optional) - for 2-3 servings","step 1: Cook the quinoa: Combine quinoa and 1 cup water or broth in a pot. Bring to a boil, then lower heat and simmer ~15 minutes until liquid is absorbed. Fluff and let cool.","step 2: Prepare the dressing: in a bowl or jar, whisk together soy sauce, rice vinegar, grated ginger, honey, sesame oil, lime juice, and olive oil until well combined.","step 3: In a large salad bowl, combine the cooled quinoa, edamame, diced red bell pepper, shredded purple cabbage, grated carrot, and green onions. Add chopped cilantro if using.",step 4: Pour the ginger dressing over the salad. Toss well so that everything is coated in the dressing.,per 1 serving,"This salad is a rich source of fiber, plant protein (edamame and quinoa), and an array of vitamins from the colorful vegetables.",320 kcal,12 g,45 g,8 g,12 g,2 g,10 g,400 mg,"This rainbow salad is as nutritious as it is vibrant. Edamame (immature soybeans) provide complete plant protein (17 g per cup) and fiber, excellent for muscle repair and satiety. Quinoa adds more protein and complex carbs for sustained energy. The variety of colorful veggies offers a broad spectrum of antioxidants: beta-carotene in carrots, anthocyanins in purple cabbage, vitamin C in bell peppers, etc., which collectively fight oxidative stress and support immune function. The ginger in the dressing aids digestion and reduces inflammation, while the vinegar and lime add gut-friendly acidity. It’s a refreshing meal that keeps energy stable and recovery on track.",step 5: You can serve immediately or let it chill for 30 minutes to allow flavors to meld. This salad can be stored in the fridge for up to 2 days (the veggies stay crunchy).,Soy sauce (for dressing),2 tablespoons - for 2-3 servings,Rice vinegar (for dressing),2 tablespoons - for 2-3 servings,Fresh ginger (for dressing),"1 teaspoon, grated - for 2-3 servings",Honey (for dressing),2 teaspoons - for 2-3 servings,Sesame oil (for dressing),1 teaspoon - for 2-3 servings,Lime (for dressing),"1/2, juiced - for 2-3 servings",Olive oil (for dressing),1 tablespoon - for 2-3 servings,
S-0001,Greek Yogurt with Berries & Honey,Quick Probiotic Protein Fix,3 minutes,Snack,Recovery,Energy,Better Performance,1 serving,Greek yogurt,"1 cup (plain, 2% or full-fat for more richness)",Mixed berries,"1 cup (strawberries, blueberries, raspberries, fresh or frozen)",Honey,1 teaspoon (to drizzle),,,,,,,,,,,step 1: Spoon Greek yogurt into a bowl.,"step 2: Top with mixed berries. If using frozen berries, let them thaw slightly or warm them briefly to release juices.","step 3: Drizzle with honey on top. Enjoy immediately. (For extra texture, you can add a tablespoon of granola or nuts on top, optional.)",,per 1 serving,"High in protein and low in fat (depending on yogurt choice), with natural sugars and antioxidants from berries.",200 kcal,18 g,25 g,3 g,3 g,2 g,18 g,70 mg,"This simple snack marries protein with probiotics by using Greek yogurt, which supports muscle repair and gut health. Berries provide quick carbs and are loaded with antioxidants (like vitamin C and polyphenols) that reduce inflammation and support immune function. The small amount of honey not only adds sweetness but also some quick energy and antimicrobial properties. It’s a great post-workout snack or dessert swap that helps with recovery (protein + antioxidants) while being gentle on the stomach.",,,,,,,,,,,,,,,,
S-0002,Peanut Butter Oat Energy Bites,Portable Protein Balls,15 minutes (plus 20+ minutes refrigeration),Snack,Recovery,Energy,Better Performance,1 bite (Recipe makes ~12 bites),Rolled oats,1 cup - for 12 bites,Peanut butter,"1/2 cup (natural, unsweetened) - for 12 bites",Ground flaxseed,2 tablespoons (or chia seeds) - for 12 bites,Honey,"3 tablespoons (or maple syrup, as binder/sweetener) - for 12 bites",Protein powder,"1/4 cup (vanilla or unflavored, optional for extra protein) - for 12 bites",Mini dark chocolate chips,2 tablespoons (optional) - for 12 bites,Vanilla extract,1/2 teaspoon - for 12 bites,Salt,a pinch - for 12 bites,"step 1: In a mixing bowl, combine oats, ground flaxseed, and protein powder (if using).","step 2: Add peanut butter, honey, vanilla extract, and a pinch of salt. Mix well until it forms a thick dough. If it’s too dry, add a teaspoon or two of water. If too sticky, add a bit more oats or flax.",step 3: Stir in the mini dark chocolate chips if using.,step 4: Scoop tablespoon-sized portions and roll into balls with your hands. (Tip: slightly damp hands make rolling easier.),per 1 bite,"Contains healthy fats and protein from peanut butter and flax, and complex carbs from oats.",120 kcal,4 g,10 g,2 g,6 g,1.5 g,4 g,75 mg,"These DIY energy bites are far superior to most store-bought ones which can be loaded with sugar. By making them at home, we ensure they’re packed with wholesome ingredients like oats (rich in soluble fiber for heart and gut health), nut butter (healthy fats and protein), seeds (more protein, fiber, micronutrients), and a touch of honey for natural sweetness and quick energy. The addition of protein powder bumps up the protein content, turning these into true protein bites that can aid muscle recovery. They’re perfect for a post-workout refuel or an on-the-go snack that won’t spike your blood sugar like a candy bar. Each bite delivers a mix of carbs, protein, and fats, providing sustained energy and satiety. Plus, the fiber and omega-3s from flax support gut health and lower inflammation while satisfying hunger.",step 5: Refrigerate the energy bites for at least 20 minutes to firm up. Store in an airtight container in the fridge for up to 1 week.,,,,,,,,,,,,,,,
S-0003,Roasted Chickpeas (Savory Crunch),Crunchy Fiber Snack,45 minutes,Snack,Recovery,Energy,Better Performance,1 serving (Recipe makes 4 servings),Chickpeas,"2 cans (15 oz each), drained and rinsed - for 4 servings",Olive oil,1 tablespoon - for 4 servings,Salt,1/2 teaspoon - for 4 servings,Garlic powder,1/2 teaspoon - for 4 servings,Paprika,"1/2 teaspoon (smoked paprika for extra flavor, if available) - for 4 servings",Black pepper,to taste - for 4 servings,,,,,"step 1: Preheat oven to 400°F (200°C). Pat the drained chickpeas dry with paper towels (the drier, the crispier they will get). Remove any loose skins.","step 2: In a bowl, toss chickpeas with olive oil, salt, garlic powder, paprika, and a pinch of black pepper until evenly coated.","step 3: Spread chickpeas on a baking sheet in a single layer. Roast for 30–40 minutes, shaking the pan every 10 minutes, until chickpeas are golden and crunchy. Watch closely towards the end to prevent burning.",step 4: Let them cool slightly (they will crisp up more as they cool). Enjoy warm or at room temperature. Store leftovers in an open container (to keep dry) for up to 2 days (they may lose some crunch over time).,per 1 serving,"High in fiber and plant protein, with minimal fat, and very filling for the calories.",180 kcal,8 g,30 g,8 g,3 g,0.5 g,4 g,350 mg,"Roasted chickpeas are a fantastic alternative to chips or crackers. They pack about 8 g protein and 8 g fiber per serving, which is excellent for satiety and blood sugar control. The high fiber content (both soluble and insoluble) supports digestive health and feeds beneficial gut bacteria. They also provide complex carbs for energy and key minerals like iron and magnesium. This snack satisfies the craving for something crunchy and savory in a much healthier way – aiding recovery (thanks to protein and iron that support muscle repair and oxygen transport) and keeping energy levels stable between meals.",,,,,,,,,,,,,,,,
S-0004,Banana with Almond Butter & Chia Seeds,Instant Energy Booster,3 minutes,Snack,Recovery,Energy,Better Performance,1 serving,Banana,1 medium,Almond butter,1–2 tablespoons,Chia seeds,1 teaspoon,,,,,,,,,,,step 1: Peel the banana and slice it in half lengthwise (or into round slices).,step 2: Spread almond butter on each half (or drizzle over slices).,step 3: Sprinkle chia seeds on top of the almond butter.,"step 4: Enjoy immediately as a quick snack. (For portability, you can also cut the banana into thick coins, dollop a bit of almond butter on each, and sprinkle chia seeds on top of each coin.)",per 1 serving,"A good balance of natural sugars, fiber, and healthy fats, plus some protein.",200 kcal,5 g,30 g,7 g,9 g,1.5 g,14 g,70 mg,"This ultra-simple snack combines quick carbs with healthy fat and some protein. Bananas provide easily digestible carbs along with potassium, an electrolyte that prevents muscle cramps and aids recovery. They also contain inulin, a prebiotic fiber that stimulates the growth of good gut bacteria. Almond butter provides vitamin E (an antioxidant) and magnesium, supporting muscle and nerve function. Chia seeds on top contribute omega-3 fatty acids, fiber, and additional protein. Together, this snack is great for pre-workout energy or post-workout replenishment without weighing you down. It’s also gut-friendly – bananas are known as a soothing fruit for digestion and the combo has no added sugars or processed ingredients.",,,,,,,,,,,,,,,,
S-0005,Cottage Cheese & Pineapple Parfait,Tropical Protein Treat,5 minutes,Snack,Recovery,Energy,Better Performance,1 serving,Cottage cheese,1 cup (low-fat or full-fat as preferred),Pineapple,"1/2 cup chunks (fresh or canned in juice, drained)",Ground flaxseed,1 tablespoon (or chia seeds),Unsweetened shredded coconut,"1 tablespoon (optional, for garnish)",,,,,,,,,"step 1: In a glass or bowl, add half of the cottage cheese.",step 2: Layer half of the pineapple chunks on top of the cottage cheese.,step 3: Sprinkle half of the ground flaxseed over the pineapple.,"step 4: Repeat with the remaining cottage cheese, pineapple, and flaxseed to create layers.",per 1 serving,"Low in fat (if using low-fat cottage cheese) and high in casein protein, with natural sugars and enzymes from pineapple.",250 kcal,20 g,20 g,3 g,9 g,5 g,12 g,400 mg,"Cottage cheese is an often-overlooked protein powerhouse – one 1/2 cup serving can deliver over 12 g of protein, including casein which digests slowly to provide a steady supply of amino acids. It’s also rich in calcium. Pairing it with pineapple not only adds vitamin C and sweetness, but pineapple contains bromelain, an enzyme that may aid digestion and reduce inflammation (some athletes use bromelain for recovery). Probiotics in cottage cheese support your gut microbiome similarly to yogurt. Overall, this snack is low in calories but high in satisfying protein, making it great for weight management and recovery days alike.","step 5: Top with a sprinkle of shredded coconut for a tropical touch, if desired. Enjoy immediately.",,,,,,,,,,,,,,,
S-0006,Hard-Boiled Eggs with Fermented Pickles,Protein & Probiotics Duo,15 minutes (cook time),Snack,Recovery,Better Performance,Energy,1 serving,Eggs,2 large,Fermented pickles or sauerkraut,"1/4 cup (look for naturally fermented in brine, not vinegar-based)",Salt and pepper,to taste,,,,,,,,,,,"step 1: Place the eggs in a saucepan and cover with water. Bring to a boil, then turn off heat and cover. Let sit ~10–12 minutes (for fully hard-boiled). Transfer eggs to cold water, then peel.",step 2: Slice the hard-boiled eggs in half. Sprinkle with a little salt and pepper if desired.,step 3: Serve with a side of fermented pickles or sauerkraut. Eat a bite of pickle with each bite of egg for a contrast of flavor.,,per 1 serving,"Very low-carb, high-protein snack with healthy fats and beneficial probiotics from the fermented veggies.",160 kcal,12 g,2 g,0 g,11 g,3 g,1 g,450 mg,"Hard-boiled eggs are nature’s grab-and-go protein snack, each egg providing about 6 g of complete protein plus vitamins like B12 and D, and minerals like selenium. They’re great for muscle repair and sustaining energy. Pairing eggs with naturally fermented pickles or sauerkraut adds a dose of probiotics which support gut health and improve digestion. This combo is also rich in electrolytes (sodium from brine, potassium from eggs), making it useful for rehydration and muscle function. It’s a simple snack that delivers on protein for recovery and live beneficial bacteria for a happy gut.",,,,,,,,,,,,,,,,
S-0007,Steamed Edamame with Sea Salt & Chili,Plant Protein Popper,8 minutes,Snack,Recovery,Energy,Better Performance,1 serving (Recipe makes 2 servings),Edamame in pods,"2 cups (usually found frozen; can be prepared shelled too, but in-pod is fun for snacking) - for 2 servings",Sea salt,to taste (a pinch of coarse or flaky salt) - for 2 servings,Red chili flakes,"a pinch (optional, for a kick) - for 2 servings",,,,,,,,,,,"step 1: If using frozen edamame in pods, boil or steam them according to package directions (typically 5 minutes in boiling water until tender). Drain.","step 2: While hot, toss the edamame with a sprinkle of sea salt. Add red chili flakes if you enjoy some spice.","step 3: To eat, pop the edamame beans out of the pods with your teeth (do not eat the pods). Discard pods after removing beans.",,per 1 serving,"A great source of plant protein and fiber, plus iron and calcium. Low in calories for the amount of nutrients.",120 kcal,11 g,10 g,5 g,5 g,0.5 g,2 g,250 mg,"Edamame (young soybeans) are a fantastic snack for athletes – one cup in pods provides roughly 10 g protein and 5 g fiber, along with omega-3 fats and micronutrients like iron, magnesium, and folate. The protein in edamame contains all essential amino acids, supporting muscle maintenance and recovery. Its fiber aids satiety and gut health. Lightly salted edamame can also help replenish some sodium lost in sweat after workouts, and the chili flakes add a metabolism boost and extra antioxidants. It’s a fun, whole-food snack that keeps your hands busy and your body fueled, all while being very easy on the stomach.",,,,,,,,,,,,,,,,
S-0008,Kefir Green Smoothie Shot,Digestive Booster Shot,3 minutes,Snack,Recovery,Better Performance,Energy,1 serving (~8 oz),Plain kefir,1/2 cup (a fermented milk drink),Spinach or kale,1/2 cup (a small handful),Pineapple,1/2 cup chunks (frozen or fresh),Ginger,"1/2 teaspoon, grated (or a small slice of fresh ginger)",,,,,,,,,"step 1: Combine kefir, spinach/kale, pineapple, and ginger in a blender.","step 2: Blend until completely smooth (it will be a small volume, like a mini-smoothie). Add a splash of water if needed to blend.",step 3: Pour into a small glass and drink it as a “shot” or sip slowly. Best if consumed immediately.,,per 1 serving,"A low-calorie, nutrient-dense shot rich in probiotics and enzymes.",80 kcal,4 g,12 g,1 g,2 g,1 g,10 g,40 mg,"Sometimes you want just a quick pick-me-up of nutrients. This green smoothie shot provides probiotics from kefir (which has more diverse cultures than yogurt), aiding gut health and digestion. The greens (spinach or kale) offer folate, iron, and chlorophyll, while pineapple supplies bromelain (an enzyme that can reduce inflammation and aid digestion) along with vitamin C. Ginger further supports digestion and has anti-nausea and anti-inflammatory effects. Together, this small volume “shot” can help settle the stomach, provide a quick dose of recovery nutrients, and support hydration. It’s great as a pre-workout primer or a post-meal digestive aid.",,,,,,,,,,,,,,,,
S-0009,Carrots & Hummus,Crunchy Prebiotic Snack,5 minutes,Snack,Recovery,Energy,Better Performance,1 serving,Carrots,"2 medium, peeled and cut into sticks (or use baby carrots, ~1 cup)",Hummus,1/4 cup (choose a brand with simple ingredients or homemade),,,,,,,,,,,,,step 1: Portion out the hummus into a small bowl.,"step 2: Dip carrot sticks into hummus and enjoy. (For variety, you can include cucumber slices or bell pepper strips as well.)",,,per 1 serving,"High in vitamin A and fiber from carrots, and healthy fats plus protein from hummus (chickpeas and tahini).",150 kcal,4 g,16 g,6 g,8 g,1 g,7 g,250 mg,"Raw carrots are one of the best sources of prebiotic fiber (particularly pectin) which feeds good gut bacteria. They’re also high in vitamin A (beta-carotene) for immune support and vision. Pairing carrots with hummus not only makes them tastier but also adds protein and healthy fats. Hummus, made from chickpeas and sesame (tahini), provides protein, additional fiber, and minerals like magnesium and iron. The fat from the olive oil/tahini in hummus helps absorb the fat-soluble vitamins from carrots. This combo is low in calories but quite filling, making it an excellent mid-day snack that supports gut health, steady energy, and muscle recovery (thanks to plant protein and iron).",,,,,,,,,,,,,,,,
S-0010,Chocolate Greek Yogurt Dip with Strawberries,Recovery Dessert Swap,5 minutes,Snack,Recovery,Energy,Better Performance,1 serving (Recipe makes 1-2 servings),Greek yogurt,"1 cup (plain, 2% or full-fat) - for 1-2 servings",Cocoa powder,1 tablespoon (unsweetened) - for 1-2 servings,Honey or maple syrup,2 teaspoons (adjust to taste) - for 1-2 servings,Vanilla extract,1/4 teaspoon - for 1-2 servings,Strawberries,"1 cup (for dipping, can also use other fruits like banana slices or apple slices) - for 1-2 servings",,,,,,,"step 1: In a bowl, mix the Greek yogurt, cocoa powder, honey, and vanilla extract until smooth and well combined. The yogurt will turn into a creamy chocolate dip. Adjust sweetness by adding a bit more honey if needed.",step 2: Wash the strawberries and pat dry.,step 3: Serve the chocolate yogurt dip with strawberries for dipping. This can be eaten as a snack or healthy dessert.,,per 1 serving (1/2 recipe),Much higher in protein and lower in sugar than chocolate fondue or pudding. Rich in antioxidants from cocoa and strawberries.,200 kcal,15 g,25 g,4 g,5 g,3 g,18 g,50 mg,"This snack feels indulgent but is very nutritious. Greek yogurt provides protein (for muscle repair) and probiotics (for gut health), transforming into a “chocolate dip” with just cocoa and a bit of honey. Cocoa powder is rich in flavonoids, which improve blood flow and reduce inflammation. Strawberries add vitamin C and more antioxidants, and their natural sweetness complements the tangy yogurt. Unlike typical chocolate dips or desserts, this combo has minimal added sugar and plenty of protein and fiber, so it satisfies a sweet craving while actually aiding recovery. It’s perfect as a post-dinner snack to boost protein intake or a midday treat that won’t cause an energy crash.",,,,,,,,,,,,,,,,
